City,Temperature (F),Humidity,Windspeed (MPH),Cloudiness,Latitude
lavrentiya,46.68,94.0,17.58,100.0,65.58
hailin,66.12,100.0,2.37,68.0,44.57
nara,83.73,74.0,4.7,75.0,34.68
bingol,54.33,75.0,2.93,0.0,38.88
duku,72.87,98.0,5.06,92.0,11.24
nova olimpia,62.97,71.0,5.61,0.0,-14.8
bac lieu,,,,,
comodoro rivadavia,50.0,57.0,2.24,0.0,-45.87
ruston,80.6,78.0,4.5,1.0,32.52
pincher creek,82.4,24.0,10.29,1.0,49.49
khislavichi,53.88,78.0,4.72,0.0,54.19
uvinza,58.56,38.0,5.06,0.0,-5.1
bastia,78.8,74.0,8.05,20.0,44.6
piacabucu,65.94,95.0,3.27,0.0,-10.41
roding,64.4,100.0,9.19,90.0,49.19
karlskoga,60.96,87.0,9.17,32.0,59.33
pangody,55.14,79.0,5.17,0.0,65.85
pesochnoye,62.88,79.0,9.42,0.0,58.01
mayo,50.0,93.0,4.7,90.0,63.59
meyungs,,,,,
dingle,80.7,89.0,12.1,88.0,11.0
santiago de las vegas,82.4,88.0,10.29,20.0,22.97
souillac,56.21,87.0,2.71,0.0,45.6
sentyabrskiy,,,,,
santander,87.8,74.0,11.41,75.0,9.42
new norfolk,62.6,39.0,26.4,75.0,-42.78
mehamn,50.46,100.0,3.6,92.0,71.03
cusco,50.0,57.0,2.24,56.0,-13.52
dolbeau,,,,,
surt,76.83,100.0,7.4,0.0,31.21
kozhva,55.77,82.0,8.86,100.0,65.11
lethem,78.45,74.0,8.19,88.0,3.38
upernavik,38.58,98.0,4.72,92.0,72.79
dubbo,66.2,24.0,18.34,0.0,-32.25
westport,52.44,93.0,9.42,36.0,53.8
samusu,,,,,
la palma,66.93,71.0,2.48,0.0,5.36
zaozerne,67.38,60.0,15.12,0.0,51.37
novikovo,66.3,95.0,7.63,8.0,45.05
graaff-reinet,38.76,98.0,2.82,92.0,-32.25
jhelum,83.58,89.0,3.15,0.0,32.94
smidovich,72.06,90.0,0.47,76.0,48.6
cherskiy,54.42,62.0,3.6,0.0,68.75
tabou,77.55,100.0,11.1,76.0,4.42
ust-nera,58.92,42.0,2.59,36.0,64.57
tasiilaq,44.6,81.0,14.99,92.0,65.61
coquimbo,51.8,93.0,4.7,90.0,-29.95
de-kastri,61.44,83.0,4.16,12.0,51.48
doctor juan leon mallorquin,51.8,87.0,3.36,75.0,-25.4
mar del plata,47.67,61.0,5.61,88.0,-46.43
sokyryany,57.75,67.0,8.41,0.0,48.45
governador valadares,66.3,80.0,4.27,20.0,-18.85
iqaluit,44.6,81.0,13.87,90.0,63.75
bertoua,66.48,98.0,4.72,80.0,4.58
kachikau,,,,,
caconda,46.95,82.0,2.59,0.0,-13.73
inuvik,46.4,70.0,6.93,90.0,68.36
dakar,80.6,83.0,9.17,40.0,14.69
kavieng,84.48,100.0,9.98,36.0,-2.57
murray bridge,61.62,77.0,16.24,48.0,-35.12
yerbogachen,62.97,66.0,5.17,8.0,61.28
miramar,69.8,94.0,2.24,75.0,10.09
shingu,87.8,66.0,5.82,20.0,33.72
pyay,80.97,95.0,4.72,80.0,18.82
beringovskiy,47.4,99.0,16.24,44.0,63.05
rawannawi,,,,,
maceio,69.8,94.0,3.36,0.0,-9.67
henties bay,48.3,100.0,9.42,0.0,-22.12
vavuniya,85.38,63.0,14.9,64.0,8.76
muskegon,73.49,88.0,3.36,1.0,43.23
saint-louis,63.07,77.0,6.93,75.0,47.59
cabo san lucas,82.63,78.0,4.7,20.0,22.89
lorengau,85.38,93.0,12.77,0.0,-2.02
garden city,79.77,51.0,5.82,1.0,40.73
dire,50.28,86.0,2.59,76.0,9.18
banjarmasin,80.6,83.0,2.24,75.0,-3.32
saskylakh,69.36,74.0,8.41,0.0,71.97
acapulco,84.2,74.0,6.93,75.0,16.86
victoria,85.19,83.0,4.7,75.0,5.28
port lincoln,52.8,100.0,15.23,92.0,-34.72
kruisfontein,55.32,100.0,19.15,92.0,-34.0
semirom,51.45,52.0,2.26,0.0,31.41
lasa,77.0,57.0,4.7,0.0,34.92
bairiki,,,,,
san rafael,33.27,67.0,5.17,0.0,-34.61
miracema do tocantins,83.94,37.0,5.61,32.0,-9.56
sucua,62.07,95.0,3.71,76.0,-2.46
tuatapere,51.0,96.0,5.39,0.0,-46.13
erzincan,64.4,59.0,3.36,40.0,39.75
eyl,79.44,74.0,23.85,44.0,7.98
baruun-urt,67.83,79.0,8.63,92.0,46.68
chapais,57.2,76.0,10.29,90.0,49.78
arman,69.8,56.0,4.47,40.0,59.7
maumere,83.31,94.0,2.59,0.0,-8.63
cayenne,78.8,100.0,2.24,0.0,4.94
ballina,51.54,97.0,7.74,12.0,54.11
glossa,75.2,88.0,4.7,20.0,35.47
kostomuksha,66.93,66.0,5.84,36.0,64.59
duldurga,62.88,80.0,3.94,92.0,50.67
boljarovo,,,,,
mandan,81.48,37.0,4.7,1.0,46.83
tauranga,59.28,86.0,5.95,0.0,-37.69
shirpur,76.02,96.0,9.31,92.0,21.35
gamboma,70.62,89.0,7.4,32.0,-1.87
honningsvag,51.18,100.0,3.71,88.0,70.98
bucerias,84.2,66.0,3.15,75.0,20.76
nemuro,60.8,100.0,12.75,75.0,43.32
bethel,53.6,81.0,4.94,90.0,60.79
sisimiut,38.13,97.0,2.37,24.0,66.94
saint george,69.8,60.0,5.82,20.0,39.45
verkhnevilyuysk,58.74,80.0,4.16,76.0,63.45
mahebourg,66.2,82.0,8.63,40.0,-20.41
sulangan,84.48,94.0,18.48,88.0,11.14
slave lake,75.2,64.0,3.49,1.0,55.28
ekuvukeni,54.42,85.0,12.33,80.0,-28.47
imbituba,57.2,58.0,12.75,0.0,-28.24
nizhneyansk,,,,,
carballo,52.66,93.0,5.82,32.0,43.21
banska bystrica,65.16,77.0,2.59,20.0,48.74
naryan-mar,55.95,92.0,11.65,92.0,67.67
mocuba,68.55,97.0,3.6,92.0,-16.84
alice springs,69.8,12.0,14.99,0.0,-23.7
bilma,81.33,40.0,7.74,0.0,18.69
tokmak,63.06,54.0,10.65,0.0,47.26
wagar,81.06,74.0,5.73,0.0,31.44
krasnyy yar,54.24,68.0,7.07,0.0,50.7
duki,78.36,75.0,3.15,100.0,30.15
west wendover,95.0,10.0,8.05,1.0,40.74
vardo,76.5,69.0,4.7,1.0,39.62
half moon bay,85.53,53.0,17.22,20.0,37.46
plettenberg bay,54.15,100.0,19.04,92.0,-34.05
zhigansk,69.45,52.0,3.49,8.0,66.77
abu kamal,79.08,40.0,12.66,0.0,34.45
kushmurun,,,,,
neiafu,77.0,61.0,5.82,40.0,-18.65
solnechnyy,72.33,76.0,3.94,48.0,50.72
freeport,83.58,99.0,5.17,0.0,26.54
cam ranh,84.39,82.0,10.87,36.0,11.92
batagay,70.35,59.0,6.62,0.0,67.65
umm kaddadah,68.01,83.0,2.93,44.0,13.6
toma,68.0,88.0,2.24,75.0,43.82
yenagoa,72.24,97.0,6.73,92.0,4.92
ranot,85.83,73.0,13.44,64.0,7.78
poum,55.59,92.0,0.92,0.0,41.28
geraldton,71.6,64.0,3.36,40.0,49.72
basar,80.6,94.0,5.82,75.0,27.98
viedma,42.09,84.0,10.76,56.0,-40.81
namie,86.0,74.0,9.17,40.0,37.52
porto nacional,78.36,63.0,5.95,8.0,-10.7
maghama,,,,,
san patricio,42.45,89.0,2.82,0.0,-26.98
yekaterinoslavka,68.37,92.0,5.73,92.0,54.34
sitka,77.46,41.0,7.74,8.0,37.17
vanimo,83.58,100.0,6.4,0.0,-2.67
sorong,81.96,100.0,7.4,24.0,-0.86
talnakh,50.46,86.0,13.89,92.0,69.49
hami,88.62,46.0,1.36,20.0,42.84
victor harbor,60.8,41.0,16.11,75.0,-35.55
olafsvik,,,,,
boguchany,68.28,58.0,3.49,0.0,58.38
amderma,,,,,
tiznit,67.65,95.0,4.16,0.0,29.7
brisbane,70.74,37.0,9.17,20.0,-27.47
synya,55.32,81.0,8.97,64.0,65.37
chenzhou,86.73,95.0,3.94,8.0,25.81
carauari,75.03,94.0,2.82,56.0,-4.88
labuhan,82.23,76.0,2.04,88.0,-2.54
marsh harbour,82.95,100.0,3.6,0.0,26.54
yar-sale,53.16,97.0,9.75,0.0,66.83
agva,,,,,
isangel,72.96,100.0,8.97,68.0,-19.55
sayyan,52.53,58.0,2.37,8.0,15.17
karkaralinsk,,,,,
folldal,46.95,100.0,2.93,92.0,62.14
zephyrhills,82.26,74.0,3.36,1.0,28.23
jiddah,,,,,
mayumba,67.38,97.0,4.72,44.0,-3.44
verkhoyansk,69.27,59.0,3.94,0.0,67.55
barawe,,,,,
tutoia,77.1,89.0,9.98,12.0,-2.76
san quintin,80.6,88.0,4.7,90.0,17.54
cedar lake,75.79,88.0,4.7,75.0,41.36
umzimvubu,,,,,
boende,70.53,97.0,3.38,24.0,-0.28
dwarka,86.0,84.0,3.36,20.0,28.58
peniche,61.54,72.0,21.92,0.0,39.36
avarua,75.2,73.0,10.29,40.0,-21.21
mill valley,85.12,35.0,4.7,1.0,37.91
ust-kuyga,67.02,55.0,5.5,0.0,70.0
buenos aires,47.59,61.0,8.05,75.0,-34.61
saldanha,51.45,80.0,6.06,0.0,41.42
longlac,,,,,
tawnat,,,,,
weligama,80.25,90.0,11.65,44.0,5.97
kyzyl-suu,67.74,85.0,3.94,44.0,42.34
pampa,77.92,57.0,5.82,1.0,35.54
korgen,41.0,100.0,3.15,90.0,66.08
el dorado,69.45,99.0,1.92,80.0,6.71
sladkovo,62.88,99.0,8.75,92.0,55.53
kuche,,,,,
kabarnet,58.29,97.0,2.04,8.0,0.5
bengkulu,,,,,
los llanos de aridane,71.6,83.0,12.75,36.0,28.66
narsaq,46.4,81.0,4.7,12.0,60.91
khash,73.32,23.0,2.59,0.0,28.22
luanda,68.0,94.0,4.7,40.0,-8.83
tezu,73.77,84.0,1.14,64.0,27.93
naze,75.2,94.0,3.94,75.0,5.43
coihaique,38.01,100.0,3.36,0.0,-45.58
fengrun,89.43,87.0,4.38,0.0,39.83
altamira,75.66,87.0,3.15,20.0,-3.2
turbat,78.9,85.0,4.38,76.0,26.0
yulara,71.6,10.0,11.41,0.0,-25.24
barra,71.7,61.0,9.42,0.0,-11.09
shimoda,86.0,79.0,18.34,20.0,34.7
komsomolskiy,49.29,86.0,11.32,88.0,67.55
serov,58.02,62.0,5.73,0.0,59.61
kumanovo,69.8,83.0,1.12,75.0,42.14
rolim de moura,,,,,
meulaboh,79.71,100.0,1.48,44.0,4.14
gainesville,78.28,94.0,4.7,1.0,29.65
anadyr,50.0,57.0,11.18,90.0,64.73
malwan,,,,,
ravar,66.48,27.0,2.59,0.0,31.27
orange cove,101.88,21.0,10.29,1.0,36.62
vao,68.91,64.0,9.31,24.0,59.1
biak,77.55,95.0,4.38,92.0,-0.91
bubaque,73.4,100.0,2.24,75.0,11.28
hamilton,80.6,78.0,12.75,40.0,32.3
alzey,57.96,67.0,12.75,1.0,49.75
velagici,69.8,88.0,5.82,0.0,44.56
sao felix do xingu,78.99,59.0,3.04,8.0,-6.64
colac,59.01,59.0,15.01,44.0,-38.34
port hedland,77.0,38.0,18.34,0.0,-20.31
fairlie,84.65,62.0,4.61,1.0,33.31
dapaong,73.59,91.0,5.5,24.0,10.86
aginskoye,69.54,86.0,5.39,64.0,51.11
brae,47.41,81.0,2.24,48.0,60.4
koungou,,,,,
gumdag,79.62,78.0,8.19,44.0,39.2
klaksvik,48.2,93.0,6.93,12.0,62.23
itaituba,76.65,84.0,1.48,44.0,-4.26
kalmunai,83.13,72.0,1.7,24.0,7.42
luoyang,75.48,100.0,4.16,92.0,34.66
entre rios,73.05,97.0,4.61,88.0,-11.94
morondava,63.78,100.0,3.71,0.0,-20.3
fuyang,95.64,64.0,5.39,8.0,32.89
weatherford,80.8,65.0,5.82,40.0,32.76
mys shmidta,,,,,
ahwa,74.22,100.0,8.97,100.0,20.76
varna,69.8,64.0,6.93,0.0,43.22
tongliao,79.35,95.0,6.62,0.0,43.61
rio grande,52.8,98.0,27.54,44.0,-32.03
santiago,59.0,58.0,6.93,0.0,-33.44
te anau,45.42,90.0,3.38,0.0,-45.41
uwayl,,,,,
annau,80.6,32.0,6.93,0.0,37.89
caravelas,76.29,99.0,20.15,0.0,-17.73
logrono,51.51,82.0,4.7,32.0,42.47
dali,63.78,100.0,2.15,68.0,25.6
guerrero negro,76.65,95.0,3.38,92.0,27.97
morfovounion,,,,,
matara,38.58,96.0,1.14,12.0,-13.74
manokwari,82.68,100.0,3.15,80.0,-0.87
saint anthony,91.36,10.0,3.36,1.0,43.97
buchanan,75.2,94.0,6.4,75.0,5.88
saint-georges,65.31,91.0,5.61,56.0,46.12
kholodnyy,49.11,93.0,3.71,88.0,62.72
balaipungut,87.81,66.0,3.6,20.0,1.11
uzhur,73.5,60.0,4.38,0.0,55.32
grand gaube,66.2,82.0,14.45,40.0,-20.01
bataipora,47.22,85.0,6.73,0.0,-22.3
shiyan,81.33,83.0,2.37,32.0,32.65
lyubim,58.47,80.0,9.31,8.0,58.36
ayagoz,77.1,41.0,4.61,0.0,47.96
kawalu,69.54,95.0,2.71,80.0,-7.38
haines junction,45.96,100.0,2.15,92.0,60.75
halalo,,,,,
russell,27.96,75.0,1.59,0.0,-33.01
gunjur,75.2,94.0,4.7,40.0,13.18
tabas,70.35,29.0,2.59,0.0,33.6
mbinga,57.2,87.0,4.72,5.0,-10.95
kavaratti,78.99,100.0,15.01,64.0,10.57
leningradskiy,34.98,100.0,10.98,80.0,69.38
stornoway,,,,,
tenextatiloyan,,,,,
alpena,67.5,82.0,6.73,1.0,45.06
ijaki,,,,,
susanino,57.75,81.0,7.29,24.0,58.15
herbrechtingen,64.4,88.0,5.82,92.0,48.62
vzmorye,,,,,
gold coast,69.8,46.0,9.17,40.0,-28.0
pisco,60.8,87.0,13.87,90.0,-13.71
fare,82.05,91.0,11.77,76.0,-16.7
karaul,,,,,
portland,93.4,30.0,6.93,90.0,45.52
nishihara,89.51,59.0,4.16,1.0,35.74
falealupo,,,,,
chulman,54.33,73.0,5.73,36.0,56.84
barra patuca,84.03,86.0,15.23,0.0,15.8
rozvadiv,64.4,63.0,8.95,0.0,49.5
maturin,77.37,85.0,4.83,8.0,9.75
siilinjarvi,68.0,82.0,8.05,0.0,63.08
tessalit,79.26,64.0,9.53,0.0,20.2
mirina,,,,,
ascension,,,,,
palabuhanratu,,,,,
havre-saint-pierre,60.8,100.0,6.93,90.0,50.23
itoman,87.8,74.0,13.87,20.0,26.12
prince rupert,59.0,100.0,8.05,90.0,54.32
morro bay,81.55,41.0,12.75,1.0,35.37
kashi,,,,,
khandagayty,67.11,55.0,1.14,8.0,50.73
kieta,82.86,93.0,3.71,80.0,-6.22
shaki,70.98,95.0,7.85,80.0,7.9
teahupoo,82.4,69.0,8.05,75.0,-17.83
ketchikan,60.8,87.0,9.17,20.0,55.34
burica,,,,,
saleaula,,,,,
terme,75.2,78.0,11.41,75.0,41.21
souflion,,,,,
aykhal,54.96,90.0,4.27,44.0,65.95
genhe,66.48,80.0,5.17,48.0,50.78
leh,37.95,82.0,1.59,80.0,34.16
psakhna,,,,,
traismauer,78.8,54.0,9.17,0.0,48.35
rawson,45.42,62.0,18.81,56.0,-43.3
saint-francois,55.4,93.0,2.24,40.0,46.42
impfondo,70.89,97.0,2.15,48.0,1.62
qasigiannguit,37.4,93.0,5.82,44.0,68.82
shimonoseki,84.76,62.0,9.17,20.0,33.97
karcag,73.4,64.0,4.7,0.0,47.31
pochutla,84.2,74.0,7.4,75.0,15.74
sarkand,80.97,54.0,3.71,0.0,45.41
macomb,78.22,88.0,5.82,1.0,40.46
senador jose porfirio,77.73,85.0,5.95,36.0,-2.59
yuancheng,,,,,
vestmanna,48.2,93.0,6.93,20.0,62.16
port keats,86.01,39.0,8.19,0.0,-14.25
nantucket,75.6,94.0,4.7,1.0,41.28
loviisa,68.0,77.0,6.93,0.0,60.46
the valley,82.4,74.0,8.05,20.0,18.22
siyabuswa,57.66,87.0,11.65,92.0,-25.11
kouango,70.53,95.0,3.94,24.0,4.99
opotiki,57.12,100.0,1.48,0.0,-38.01
tuggurt,,,,,
jiangyou,72.33,100.0,3.6,80.0,31.78
mandapam,82.14,95.0,20.27,88.0,9.28
vuktyl,57.48,69.0,5.06,20.0,63.86
sur,81.69,94.0,5.61,100.0,22.57
danville,72.3,100.0,5.5,1.0,36.59
nanortalik,43.26,99.0,4.61,76.0,60.14
maragogi,73.05,92.0,4.38,100.0,-9.01
constantine,75.2,64.0,1.12,40.0,36.36
impruneta,73.4,88.0,4.7,20.0,43.69
atar,78.81,46.0,4.61,20.0,20.52
shache,82.23,41.0,4.38,8.0,38.42
mineral wells,81.28,65.0,3.04,20.0,32.81
tadine,72.24,92.0,7.4,92.0,-21.55
springhill,67.29,99.0,6.29,92.0,45.64
mende,46.05,93.0,2.26,0.0,44.52
varhaug,57.2,93.0,8.05,75.0,58.61
sobolevo,55.86,78.0,7.18,0.0,54.43
merauke,84.12,72.0,11.65,80.0,-8.49
dawei,72.69,99.0,3.15,92.0,14.07
kapit,83.85,78.0,0.81,44.0,2.02
issa,50.82,85.0,2.93,0.0,53.87
podor,78.54,77.0,11.77,80.0,16.65
kapoeta,,,,,
phan rang,,,,,
oussouye,73.4,100.0,4.7,40.0,12.49
ambilobe,70.08,67.0,14.79,0.0,-13.19
zhezkazgan,73.4,31.0,8.95,75.0,47.8
kiama,64.4,56.0,12.75,0.0,-34.67
luderitz,49.02,92.0,10.65,0.0,-26.65
asau,,,,,
niamey,80.6,78.0,5.82,0.0,13.52
altamont,77.0,65.0,4.05,1.0,49.4
honolulu,85.32,59.0,18.34,75.0,21.3
hvide sande,67.12,82.0,25.28,64.0,56.01
macapa,82.4,74.0,10.29,0.0,0.05
barabai,81.15,83.0,1.7,80.0,-2.59
zanjan,60.54,95.0,3.15,36.0,36.67
sorland,57.48,99.0,13.33,92.0,67.67
taoudenni,86.1,28.0,2.48,92.0,22.68
morgan city,77.95,94.0,7.74,40.0,29.7
severo-kurilsk,56.4,91.0,3.71,48.0,50.68
santa maria,51.8,81.0,11.41,90.0,-29.69
prado,76.38,97.0,18.14,0.0,-17.34
iskateley,55.77,93.0,10.98,92.0,67.68
kuching,84.2,79.0,5.82,75.0,1.56
kandy,72.06,98.0,4.72,80.0,7.29
penalva,71.7,100.0,2.93,0.0,-3.29
emba,77.0,57.0,4.7,0.0,34.81
panama city,82.29,74.0,6.93,1.0,30.16
finale ligure,76.87,74.0,8.05,20.0,44.17
aberdeen,73.4,78.0,6.62,1.0,45.47
bontang,82.05,94.0,5.39,76.0,0.12
kaeo,56.04,77.0,4.27,100.0,-35.1
wilkie,87.8,43.0,4.7,1.0,52.41
whitehorse,53.6,87.0,4.7,90.0,60.72
